FECHA_CORTE;UBIGEO;DEPARTAMENTO;PROVINCIA ;DISTRITO;ANIO;SEMESTRE;FECHA_DE_MATRICULA;ESCUELA;CURSOS;CREDITOS;EDAD
20230627;80601;CUSCO;CANCHIS;SICUANI;2023;2023-1;26092023;ECOTURISMO;6;21;23
20230627;80910;CUSCO;LA CONVENCIÓN;PICHARI;2023;2023-1;27092023;ECOTURISMO;7;22;18
20230627;120608;JUNÍN;SATIPO ;RIO TAMBO;2023;2023-1;28092023;ECOTURISMO;7;22;19
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;29092023;ECOTURISMO;7;22;18
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;30092023;ECOTURISMO;7;22;18
20230627;80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;2023;2023-1;1102023;ECOTURISMO;7;22;18
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;2102023;ECOTURISMO;7;22;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;3102023;ECOTURISMO;3;10;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;4102023;ECOTURISMO;3;10;19
20230627;80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;2023;2023-1;5102023;ECOTURISMO;6;21;19
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;6102023;ECOTURISMO;3;9;18
20230627;150108;LIMA;LIMA ;CHORRILLOS;2023;2023-1;7102023;ECOTURISMO;6;19;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;8102023;ECOTURISMO;7;22;16
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;9102023;ECOTURISMO;5;18;20
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;10102023;ECOTURISMO;7;24;20
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;11102023;ECOTURISMO;4;13;27
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;12102023;ECOTURISMO;7;22;22
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;13102023;ECOTURISMO;7;22;17
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;14102023;ECOTURISMO;7;22;17
20230627;80904;CUSCO;LA CONVENCIÓN;MARANURA;2023;2023-1;15102023;ECOTURISMO;6;21;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;16102023;ECOTURISMO;6;21;33
20230627;80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;2023;2023-1;17102023;ECOTURISMO;6;22;21
20230627;80910;CUSCO;LA CONVENCIÓN;PICHARI;2023;2023-1;18102023;ECOTURISMO;3;10;18
20230627;80910;CUSCO;LA CONVENCIÓN;PICHARI;2023;2023-1;19102023;ECOTURISMO;7;22;16
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;20102023;ECOTURISMO;6;20;27
20230627;80904;CUSCO;LA CONVENCIÓN;MARANURA;2023;2023-1;21102023;ECOTURISMO;6;20;21
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;22102023;ECOTURISMO;3;11;23
20230627;80904;CUSCO;LA CONVENCIÓN;MARANURA;2023;2023-1;23102023;ECOTURISMO;7;22;21
20230627;80914;CUSCO;LA CONVENCIÓN;MEGANTONI;2023;2023-1;24102023;ECOTURISMO;7;22;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;25102023;ECOTURISMO;7;22;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;26102023;ECOTURISMO;3;11;23
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;27102023;ECOTURISMO;6;22;23
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;28102023;ECOTURISMO;6;21;26
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;29102023;ECOTURISMO;3;10;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;30102023;ECOTURISMO;6;20;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;31102023;ECOTURISMO;7;22;20
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;1112023;ECOTURISMO;7;22;26
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;2112023;ECOTURISMO;5;18;19
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;3112023;ECOTURISMO;5;18;20
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;4112023;ECOTURISMO;7;22;16
20230627;80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;2023;2023-1;5112023;ECOTURISMO;7;22;18
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;6112023;ECOTURISMO;7;22;18
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;7112023;ECOTURISMO;3;9;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;8112023;ECOTURISMO;7;22;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;9112023;ECOTURISMO;6;22;45
20230627;80903;CUSCO;LA CONVENCIÓN;HUAYOPATA;2023;2023-1;10112023;ECOTURISMO;6;20;19
20230627;80909;CUSCO;LA CONVENCIÓN;VILCABAMBA;2023;2023-1;11112023;ECOTURISMO;6;21;20
20230627;80902;CUSCO;LA CONVENCIÓN;ECHARATE;2023;2023-1;12112023;ECOTURISMO;7;22;23
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;13112023;ECOTURISMO;6;21;19
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;14112023;ECOTURISMO;7;22;17
20230627;80901;CUSCO;LA CONVENCIÓN;SANTA ANA;2023;2023-1;15112023;ECOTURISMO;7;22;17
